name,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,worth,age_x,taller_six,weight,drafted,invited,power_five
Amara Darboh,13,57,862,15.1,7,0,0,0.0,0,0,23,1,214,1,1,1
Chad Hansen,10,92,1249,13.6,11,0,0,0.0,0,0,22,1,202,1,1,1
Chris Godwin,13,59,982,16.6,11,1,13,13.0,0,1,21,1,209,1,1,1
Corey Davis,14,97,1500,15.5,19,1,0,0.0,0,0,22,1,209,1,1,0
Dede Westbrook,13,80,1524,19.1,17,10,101,10.1,0,0,24,1,178,1,1,1
Isaiah McKenzie,13,44,633,14.4,7,19,134,7.1,2,0,22,1,173,1,1,1
Jehu Chesson,13,35,500,14.3,2,12,63,5.3,1,0,24,1,204,1,1,1
Josh Malone,13,50,972,19.4,11,0,0,0.0,0,0,21,1,208,1,1,1
Josh Reynolds,13,61,1039,17.0,12,0,0,0.0,0,0,22,1,194,1,1,1
JuJu Smith-Schuster,13,70,914,13.1,10,5,27,5.4,0,1,21,1,215,1,1,1
Michael Clark,11,37,632,17.1,5,0,0,0.0,0,0,22,1,217,1,1,0
Mike Williams,15,98,1361,13.9,11,0,0,0.0,0,0,23,1,218,1,1,1
Noah Brown,12,32,402,12.6,7,0,0,0.0,0,0,21,1,222,1,1,1
Ryan Switzer,13,96,1112,11.6,6,3,14,4.7,0,0,23,0,181,1,1,1
Shelton Gibson,13,43,951,22.1,8,2,29,14.5,0,0,22,0,191,1,1,1
Tanner Gentry,14,72,1326,18.4,14,6,30,5.0,0,0,23,1,210,1,1,0
Taywan Taylor,14,98,1730,17.7,17,6,36,6.0,0,0,22,0,203,1,1,0
Travis Rudolph,13,56,840,15.0,7,0,0,0.0,0,0,22,1,189,1,1,1
Trent Taylor,14,136,1803,13.3,12,0,0,0.0,0,1,23,0,181,1,1,0
Zay Jones,12,158,1746,11.1,8,4,24,6.0,0,0,22,1,201,1,1,0
