name,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,worth,age_x,taller_six,weight,drafted,invited,power_five
Damion Ratley,12,30,694,23.1,6,0,0,0.0,0,0,23,1,200,0,1,1
James Washington,13,74,1549,20.9,13,3,12,4.0,1,0,22,0,213,1,1,1
Tre'Quan Smith,13,59,1171,19.8,13,5,23,4.6,1,1,22,1,203,0,1,0
Marcell Ateman,13,59,1156,19.6,8,0,0,0.0,0,0,24,1,216,1,1,1
J'Mon Moore,13,65,1082,16.6,10,0,0,0.0,0,0,23,1,207,0,1,1
Marquez Valdes-Scantling,12,53,879,16.6,6,8,108,13.5,1,1,24,1,206,1,1,0
DaeSean Hamilton,13,53,857,16.2,9,1,2,2.0,0,0,23,1,203,1,1,1
Courtland Sutton,13,68,1085,16.0,12,1,2,2.0,1,1,23,1,218,1,1,0
Javon Wims,14,45,720,16.0,7,0,0,0.0,0,0,24,1,215,1,1,1
Equanimeous St. Brown,12,33,515,15.6,4,0,0,0.0,0,0,22,1,214,1,1,0
Keke Coutee,13,93,1429,15.4,10,5,15,3.0,0,0,21,0,181,1,1,1
Calvin Ridley,14,63,967,15.3,5,2,17,8.5,0,1,24,1,189,1,1,1
Anthony Miller,13,96,1462,15.2,18,10,25,2.5,0,1,24,0,201,1,1,0
Keith Kirkwood,12,45,671,14.9,7,0,0,0.0,0,0,25,1,209,0,1,0
Chad Beebe,9,28,417,14.9,1,1,-1,-1.0,0,0,24,0,165,0,1,0
Trent Sherfield,12,50,729,14.6,5,8,92,11.5,1,0,22,1,219,0,1,1
Michael Gallup,13,100,1418,14.2,7,0,0,0.0,0,1,22,1,205,1,1,0
Auden Tate,12,40,548,13.7,10,0,0,0.0,0,0,21,1,228,1,1,1
Cam Phillips,12,71,964,13.6,7,1,10,10.0,0,0,23,1,201,0,1,1
Allen Lazard,13,71,941,13.3,10,0,0,0.0,0,0,23,1,227,0,1,1
Deontay Burnett,14,86,1114,13.0,9,2,-2,-1.0,0,0,21,1,186,0,1,1
D.J. Moore,12,80,1033,12.9,8,5,61,12.2,1,1,21,1,210,1,1,1
Christian Kirk,13,71,919,12.9,10,4,31,7.8,0,1,22,0,201,1,1,1
Dante Pettis,13,63,761,12.1,7,3,50,16.7,0,1,23,1,186,1,1,1
Trey Quinn,13,114,1236,10.8,13,1,0,0.0,0,0,23,0,203,1,1,0
Malik Turner,10,31,326,10.5,0,0,0,0.0,0,0,22,1,203,0,1,1
Brandon Powell,11,42,406,9.7,3,4,15,3.8,1,0,22,0,181,0,1,1
Richie James,5,31,290,9.4,3,10,57,5.7,0,0,23,0,183,0,1,0
Cameron Batson,13,59,487,8.3,5,6,38,6.3,0,0,23,0,175,0,1,1
